Efficient Top-k Shortest-Path Distance Queries on Large Networks by Pruned Landmark Labeling.,https://doi.org/10.1609/aaai.v29i1.9154,2015,A,AAAI
Inferring Same-As Facts from Linked Data: An Iterative Import-by-Query Approach.,https://doi.org/10.1609/aaai.v29i1.9174,2015,A,AAAI
A Personalized Interest-Forgetting Markov Model for Recommendations.,https://doi.org/10.1609/aaai.v29i1.9165,2015,A,AAAI
"Will You ""Reconsume"" the Near Past? Fast Prediction on Short-Term Reconsumption Behaviors.",https://doi.org/10.1609/aaai.v29i1.9172,2015,A,AAAI
VELDA: Relating an Image Tweet's Text and Images.,https://doi.org/10.1609/aaai.v29i1.9168,2015,A,AAAI
On Information Coverage for Location Category Based Point-of-Interest Recommendation.,https://doi.org/10.1609/aaai.v29i1.9191,2015,A,AAAI
Visually Interpreting Names as Demographic Attributes by Exploiting Click-Through Data.,https://doi.org/10.1609/aaai.v29i1.9184,2015,A,AAAI
A New Granger Causal Model for Influence Evolution in Dynamic Social Networks: The Case of DBLP.,https://doi.org/10.1609/aaai.v29i1.9163,2015,A,AAAI
An Axiomatic Approach to Link Prediction.,https://doi.org/10.1609/aaai.v29i1.9189,2015,A,AAAI
Perceiving Group Themes from Collective Social and Behavioral Information.,https://doi.org/10.1609/aaai.v29i1.9171,2015,A,AAAI
Predicting the Demographics of Twitter Users from Website Traffic Data.,https://doi.org/10.1609/aaai.v29i1.9204,2015,A,AAAI
High-Performance Distributed ML at Scale through Parameter Server Consistency Models.,https://doi.org/10.1609/aaai.v29i1.9195,2015,A,AAAI
An EBMC-Based Approach to Selecting Types for Entity Filtering.,https://doi.org/10.1609/aaai.v29i1.9198,2015,A,AAAI
Trust Models for RDF Data: Semantics and Complexity.,https://doi.org/10.1609/aaai.v29i1.9169,2015,A,AAAI
Extended Property Paths: Writing More SPARQL Queries in a Succinct Way.,https://doi.org/10.1609/aaai.v29i1.9188,2015,A,AAAI
Lower and Upper Bounds for SPARQL Queries over OWL Ontologies.,https://doi.org/10.1609/aaai.v29i1.9192,2015,A,AAAI
FACES: Diversity-Aware Entity Summarization Using Incremental Hierarchical Conceptual Clustering.,https://doi.org/10.1609/aaai.v29i1.9180,2015,A,AAAI
TrustSVD: Collaborative Filtering with Both the Explicit and Implicit Influence of User Trust and of Item Ratings.,https://doi.org/10.1609/aaai.v29i1.9153,2015,A,AAAI
A Stochastic Model for Detecting Heterogeneous Link Communities in Complex Networks.,https://doi.org/10.1609/aaai.v29i1.9159,2015,A,AAAI
Prajna: Towards Recognizing Whatever You Want from Images without Image Labeling.,https://doi.org/10.1609/aaai.v29i1.9186,2015,A,AAAI
Kernel Density Estimation for Text-Based Geolocation.,https://doi.org/10.1609/aaai.v29i1.9149,2015,A,AAAI
Cross-Modal Image Clustering via Canonical Correlation Analysis.,https://doi.org/10.1609/aaai.v29i1.9181,2015,A,AAAI
Modeling with Node Degree Preservation Can Accurately Find Communities.,https://doi.org/10.1609/aaai.v29i1.9201,2015,A,AAAI
Estimating Temporal Dynamics of Human Emotions.,https://doi.org/10.1609/aaai.v29i1.9190,2015,A,AAAI
Uniform Interpolation and Forgetting for ALC Ontologies with ABoxes.,https://doi.org/10.1609/aaai.v29i1.9206,2015,A,AAAI
Using Matched Samples to Estimate the Effects of Exercise on Mental Health via Twitter.,https://doi.org/10.1609/aaai.v29i1.9205,2015,A,AAAI
Consistent Knowledge Discovery from Evolving Ontologies.,https://doi.org/10.1609/aaai.v29i1.9175,2015,A,AAAI
Multi-Document Summarization Based on Two-Level Sparse Representation Model.,https://doi.org/10.1609/aaai.v29i1.9161,2015,A,AAAI
COT: Contextual Operating Tensor for Context-Aware Recommender Systems.,https://doi.org/10.1609/aaai.v29i1.9158,2015,A,AAAI
Effectively Predicting Whether and When a Topic Will Become Prevalent in a Social Network.,https://doi.org/10.1609/aaai.v29i1.9197,2015,A,AAAI
Content-Based Collaborative Filtering for News Topic Recommendation.,https://doi.org/10.1609/aaai.v29i1.9183,2015,A,AAAI
A Tri-Role Topic Model for Domain-Specific Question Answering.,https://doi.org/10.1609/aaai.v29i1.9182,2015,A,AAAI
